experience_years,price,duration_hours,interest,education_level,formation_category,has_java,has_spring,has_sql,has_python,has_management,label
5,809,22,MANAGEMENT,LICENCE,BUSINESS,0,0,1,0,0,0
10,321,20,LANGUAGES,INGENIEUR,LANGUES,1,0,0,0,1,1
15,365,21,BACKEND,MASTER,BUSINESS,0,1,1,1,0,0
7,393,29,MANAGEMENT,LICENCE,BUSINESS,0,1,0,1,1,1
7,163,30,MANAGEMENT,INGENIEUR,DATA_SCIENCE,1,0,1,1,1,0
8,197,19,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,1,1
15,564,36,BACKEND,MASTER,BUSINESS,0,1,0,1,1,0
12,757,34,DATA,INGENIEUR,INFORMATIQUE,1,1,0,1,0,0
5,444,13,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,0,1
8,424,15,LANGUAGES,LICENCE,LANGUES,0,0,1,1,1,1
8,314,15,LANGUAGES,MASTER,LANGUES,0,1,0,0,1,1
2,798,42,OTHER,LICENCE,BUSINESS,1,1,1,1,1,0
10,335,12,LANGUAGES,INGENIEUR,LANGUES,1,1,0,1,0,1
14,837,34,LANGUAGES,LICENCE,DATA_SCIENCE,1,0,0,0,0,0
5,863,21,OTHER,LICENCE,DATA_SCIENCE,0,0,0,1,1,1
0,854,32,MANAGEMENT,LICENCE,INFORMATIQUE,1,0,0,1,0,0
7,169,15,LANGUAGES,LICENCE,BUSINESS,0,1,0,1,0,0
4,476,16,DATA,LICENCE,DATA_SCIENCE,1,1,1,1,1,1
4,467,22,MANAGEMENT,MASTER,BUSINESS,1,1,1,0,1,1
3,322,28,DATA,INGENIEUR,DATA_SCIENCE,0,1,1,1,1,1
10,459,26,MANAGEMENT,MASTER,BUSINESS,0,0,0,1,1,1
9,474,8,DATA,INGENIEUR,INFORMATIQUE,1,0,0,1,0,0
8,157,27,LANGUAGES,LICENCE,BUSINESS,1,1,0,0,0,0
11,282,33,MANAGEMENT,LICENCE,LANGUES,1,0,1,0,1,0
8,285,12,LANGUAGES,MASTER,INFORMATIQUE,1,0,0,0,0,0
2,373,16,BACKEND,LICENCE,INFORMATIQUE,1,1,0,0,1,1
4,262,28,MANAGEMENT,LICENCE,BUSINESS,0,0,1,1,1,1
10,406,22,MANAGEMENT,LICENCE,BUSINESS,0,0,1,1,1,1
5,327,25,MANAGEMENT,MASTER,BUSINESS,0,0,1,0,1,0
3,436,16,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,1,1
3,131,27,MANAGEMENT,LICENCE,INFORMATIQUE,0,0,0,1,0,0
3,573,9,DATA,LICENCE,DATA_SCIENCE,0,0,0,0,0,0
7,250,30,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,0,1
1,675,14,BACKEND,LICENCE,INFORMATIQUE,1,0,1,0,1,0
2,583,12,OTHER,MASTER,INFORMATIQUE,0,1,1,1,1,0
